GeneName	GoTerm
YAL003W	GO:0006414
YAL005C	GO:0006616
YAL005C	GO:0006606
YAL005C	GO:0043161
YAL005C	GO:0042026
YAL005C	GO:0006626
YAL005C	GO:0072318
YAL005C	GO:0034620
YAL005C	GO:0016192
YAL005C	GO:0051085
YAL005C	GO:0006457
YAL005C	GO:0035617
YAL005C	GO:0002181
YAL005C	GO:0034605
YAL005C	GO:0000209
YAL005C	GO:0090344
YAL005C	GO:0006986
YAL007C	GO:0006621
YAL007C	GO:0006886
YAL007C	GO:0007030
YAL007C	GO:0015031
YAL007C	GO:0006888
YAL007C	GO:0016192
YAL008W	GO:0055091
YAL008W	GO:0007005
YAL008W	GO:0000422
YAL009W	GO:0030435
YAL009W	GO:0071072
YAL009W	GO:1903740
YAL009W	GO:0006470
YAL009W	GO:0006998
YAL009W	GO:0043666
YAL009W	GO:0006629
YAL010C	GO:0000002
YAL010C	GO:1990456
YAL010C	GO:0007005
YAL010C	GO:0015914
YAL010C	GO:0051654
YAL010C	GO:0045040
YAL010C	GO:0070096
YAL011W	GO:0043486
YAL011W	GO:0006325
YAL011W	GO:0006338
YAL011W	GO:0007029
YAL012W	GO:0008652
YAL012W	GO:0019343
YAL012W	GO:0019344
YAL012W	GO:0019346
YAL013W	GO:1900472
YAL013W	GO:1900471
YAL013W	GO:1900375
YAL013W	GO:1900473
YAL013W	GO:0061408
YAL013W	GO:0031939
YAL013W	GO:0030174
YAL013W	GO:0006325
YAL013W	GO:0061186
YAL013W	GO:0000122
YAL013W	GO:0045944
YAL013W	GO:0006357
YAL013W	GO:1900526
YAL013W	GO:0061188
YAL013W	GO:0016575
YAL013W	GO:1900525
YAL014C	GO:0006906
YAL014C	GO:0048278
YAL014C	GO:0006886
YAL014C	GO:0006896
YAL014C	GO:0015031
YAL015C	GO:0090297
YAL015C	GO:0006281
YAL015C	GO:0006285
YAL015C	GO:0006284
YAL015C	GO:0034599
YAL015C	GO:0006974
YAL015C	GO:0006296
YAL015C	GO:0008152
YAL016W	GO:0043666
YAL016W	GO:0006470
YAL016W	GO:0007094
